,Strain,Rating,NumReviews,Strain_description,THC,Lean,Sweet,Strawberry,Earthy,Cheese,Sage,Honey,Rose,Tree,Violet,Coffee,Pear,Spicy/Herbal,Tropical,Pungent,Tea,Apricot,Mint,Pepper,Flowery,Ammonia,Blueberry,Berry,Chemical,Pine,Woody,Lime,Plum,Nutty,Fruit,Citrus,Orange,Mango,Diesel,Lemon,Pineapple,Apple,Grape,Menthol,Chestnut,Skunk,Grapefruit,Blue,Peach,Butter,Lavender,Tar,Tobacco,Vanilla,Eff_Focused,Med_Inflammation,Eff_Dizzy,Eff_Energetic,Eff_Dry_eyes,Med_Lack_of_appetite,Eff_Happy,Eff_Creative,Med_Muscle_spasms,Eff_Sleepy,Med_Stress,Eff_Tingly,Eff_Aroused,Eff_Anxious,Med_Nausea,Med_Fatigue,Med_Cramps,Eff_Uplifted,Eff_Headache,Eff_Talkative,Eff_Paranoid,Eff_Hungry,Eff_Giggly,Med_Depression,Eff_Relaxed,Med_Pain,Med_Seizures,Eff_Euphoric,Med_Spasticity,Med_Eye_pressure,Eff_Dry_mouth,Med_Headaches,Med_Insomnia,Rating_scaled,Num_reviews_scaled,THC_scaled
30,Aberdeen,4.428571429,7,"Aberdeen is a variety of Agent Orange grown by Canadian LP Aphria. Like Agent Orange, Aberdeen combines the genetics of Orange Velvet and Jack the Ripper to create a mix of sweet orange and citrus flavors. The happy, uplifting effects of Aberdeen mirror Agent Orange and are regularly prescribed for anxiety, migraines, and gastrointestinal disorder.",15,0.5,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,0.204545455,1,0.923076923,,,0.923076923,,,,1,,1,1,1,,0.923076923,,,1,1,,,,,,,0.204545455,1,,0.857142857,0.000571895,0.477124183
31,Abusive OG,4.554794521,148,"A popular Californian cut of OG Kush, Abusive OG is an indica strain that inherited the nickname of its original grower. Despite its violent name, Abusive OG will ease you into in a peaceful state of mind that fades over time to a full-body relaxation. True to its OG genetics, Abusive OG has an earthy spice aroma with subtle lemon undertones. Patients who don't mind mental haziness might choose this strain to remedy pain, anxiety, appetite loss, and sleeplessness at the end of their day. Abusive OG may not produce the highest yields in the garden, but makes up for it with resin-caked buds.",21,1,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.098418278,,0.609934326,,0.619550757,,,0.563462836,1,,,0.036906854,,,,,0.036906854,,,0.281731418,,0.833449283,1,0.736329484,,0.48013111,,,1,0.641088076,0.771392793,0.88869863,0.012091503,0.673202614
32,Acapulco Gold,4.52079566,566,"One of the most well-known strains, Acapulco Gold has been likened to dinner at a five-star restaurant. The strain comes from the areas in and around Acapulco, Mexico. Its orange hairs resemble a gold nugget, with gold, green, and brown colors of resin collecting on the buds. An aroma of burnt toffee lingers when the bud is broken up. Acapulco Gold has a reputation for being one of the best cannabis strains ever created, and is becoming more difficult to find due to more growers moving indoors.",15,0.2,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.132562494,0.674786353,0.692878268,,1,0.652419857,,,0.908203869,,,0.591463704,0.437418353,0.632313779,,0.840365259,,,0.506388084,,,1,,0.620805698,,0.669175649,,,1,,,0.880198915,0.04624183,0.477124183
33,Ace Killer OG,4.852941176,34,"Ace Killer OG is an indica strain that boasts a high THC content and a pungent diesel aroma. Bred from White Fire OG, King's Kush, Kosher Kush, and a mystery strain, Ace Killer OG inherits a heavy blanket of snow-like resin and hard-hitting effects that can stupefy even the most seasoned veteran.",26,0.7,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,0.114893617,,0.5,0.765957447,1,,,,,,,,,,,0.689361702,,0.5,0.855319149,1,,1,,,1,,0.75,0.963235294,0.002777778,0.836601307
34,Ace of Spades,4.128712871,308,"Ace of Spades is a creation from TGA Subcool Seeds that takes advantage of the popular sweet and sour combination that never goes out of style. A crossbreed of Black Cherry Soda and Jack the Ripper, this strain has an earthy berry and citrus smell that carries over into the taste with distinctly lemony flavors. Ace of Spades plants grow fast and need a lot of space because they will get both bushy and tall. Flowering occurs at 8 weeks and they are generally large and heavy. These buds are pretty to look at with a range of colors that can include purples, blues, and pinks all coated in orange hairs.",15,0.6,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,0.472882806,0.618269985,0.93435724,,,0.966297389,1,,,0.491531223,,,,,0.088366125,,,0.72009208,,0.674748627,1,0.790772303,,0.807100209,,,0.91471343,,0.779719033,0.782178218,0.025163399,0.477124183
35,Aceh,4.485714286,35,"Aceh, also called Atjeh, refers to the sativa varieties of cannabis that come from the Aceh region of Indonesia. These sativas typically grow tall and thin, and are considered the finest among Indonesia's landrace varieties",10,0,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.76744186,,0.023255814,,0.620253165,1,,,,,,,0.790697674,,0.744186047,,,0.924050633,,,0.898734177,1,0.607594937,0.860465116,,,,,1,0.837209302,,0.871428571,0.002859477,0.31372549
36,Acid,4.424242424,33,"Acid is Paradise Seeds' take on the original New York Sour Diesel. Expect powerful body effects, including an uplifted, nearly psychedelic mental energy. This plant exhibits a metallic flavor that is representative of its namesake, with traditional notes of gas on the nose. Acid thrives in both indoor and outdoor environments, finishing in about 9 to 10 weeks.",18.5,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,0.407008086,0.65862069,1,,0.75862069,0.994827586,,,1,,,0.377358491,0.72,,,0.379310345,0.41509434,,,,,0.8,,,,1,,,1,0.64,0.12,0.856060606,0.002696078,0.591503268
37,Acid Dough,4.6,5,"Acid Dough by Ripper Seeds is a sativa-dominant strain with energetic effects. Created by crossing Lilly (Queen Mother x Congo) x OG Badazz, this strain offers sweet, candy-like aromas with bright pineapple flavors and a generous yield. Acid Dough has an approximate 65-70 day flowering time and colorful foliage. This strain responds well to cold temperatures during the finishing process, creating buds with deep violet hues and extra resin production. Acid Dough won 2nd Place Best Sativa at the 2017 Spannabis Champions Cups and 2nd Place at the 2016 Expogrow Cup.",,0.3,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.916666667,0.777777778,0.454545455,1,0.916666667,,,1,,,,,0.681818182,,,,0.708333333,0.777777778,,,0.681818182,0.708333333,,,,,,1,,0.363636364,0.9,0.000408497,
38,Afcrack,3.5,10,"Afcrack is a cannabis “speedball” of sorts. This strain incorporates Afgoo and Green Crack, polar opposites on the spectrum of indica and sativa varieties, to create a pseudo-sedative experience that rests in the muscles while invigorating the heart and mind. With spicy earth notes that indicate its Afghani heritage, this hybrid's effects are situation-specific and will offer energy or sedation depending on the consumer's level of activity.",,0.43,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.923076923,0.923076923,,0.769230769,1,1,,0.2,,0.818181818,,,,,0.1,,,0.272727273,0.923076923,0.181818182,,,,,1,0.181818182,,0.625,0.000816993,
39,Afghan Big Bud,4.045454545,25,"Spawn from Afghani and Big Bud, Afghan Big Bud (or Big Bud Afghani) is characterized as a large plant with broad leaves and thick stems. It has a dense appearance, similar to Big Bud, and maintains the taste of Afghani, resulting in the best of both worlds. The effects come relatively quick but usually dissipate under two hours.",,0.98,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.75,,,,0.16,,1,,,,0.923076923,,,1,0.538461538,,,0.3,,,0.04,0.8,,0.384615385,,1,,0.45,,,0.32,,0.538461538,0.761363636,0.002042484,
40,Afghan Cow,4.4,10,"This sweet-smelling and resinous sativa breed from Dr. Krippling Seeds is sure to keep you off the couch. Afghan Cow is bred from Ash, Kaya 47 (an AK-47 phenotype), and the beloved Kali Mist. The cerebral effects of this sativa are great for clear-headed daytime use. Having a high yield both indoors and out, this is an impressive plant with even more impressive effects.",20,0.25,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,0.90625,0.896551724,,0.896551724,,0.914285714,0.871428571,,,1,,,,,1,,,0.896551724,0.828571429,0.896551724,,,0.90625,,0.90625,,0.914285714,,,1,,,0.85,0.000816993,0.640522876
41,Afghan Diesel,3.810810811,41,Afghan Diesel is a hybrid strain with an aroma similar to a grapefruit and other citrus fruit. The taste has been described as light and sweet. This strain will have a more cerebral effect rather than body. The plant is characterized as having dark green leaves with purple colored buds.,19,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,0.048128342,,0.975935829,0.650693569,1,,,,0.854981084,,,0.024064171,,,,0.670665213,,,0.262032086,0.601962923,,0.707440101,0.941112323,1,,0.943293348,,,1,,0.718789407,0.702702703,0.003349673,0.607843137
42,Afghan Hawaiian,4.166666667,12,"Afghan Hawaiian is an indica-dominant hybrid of UK Cheese and Lavender bred by Canadian LP OrganiGram, Inc. The sweet mix of earthy, cheese flavors has hints of licorice and caramel undertones and produces a rush of euphoria that levels off into deep relaxation. OrganiGram classifies Afghan Hawaiian with their NDS varieties and recommend it for neurological disorders and spasticity.",,0.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,0.066666667,0.5,,,,,,0.6,1,,,0.866666667,1,,,,,,0.066666667,0.466666667,,1,1,,,0.5,,,1,,1,0.791666667,0.000980392,
43,Afghan Haze,4.358490566,55,"Afghan Haze is a sativa-dominant hybrid that combines a resinous Afghani indica with a sweet-smelling Haze sativa. Created by former Sensi breeder Nevil Schoenmaker and Shantibaba of Mr. Nice Seeds, Afghan Haze balances energizing cerebral invigoration with soothing full-body effects. Its clear-headed relief allows patients to treat pain, depression, and appetite loss during the day, and heavier doses can help ease the mind and body into peaceful sleep. Afghan Haze may have an excruciatingly long indoor flowering time of 10 weeks, but the large harvests of potent, crystal-covered buds are worth waiting for.",18.5,0.385,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048231511,,0.395498392,,0.942896936,1,,,1,,,0.337620579,,0.843173432,,0.784122563,0.038585209,,,,0.95821727,0.800738007,0.800835655,0.773062731,,,,,1,0.717712177,,0.839622642,0.004493464,0.591503268
44,Afghan Kush,4.132200189,1104,"Afghan Kush's roots trace back to the Hindu Kush mountain range near the Afghanistan-Pakistan border. There its genotype has been perfected over centuries, making it the ultimate source for hash such as charas and the sticky black Afghani hash. White Label Seed Company, a Sensi Seeds partner from the Netherlands, made the seeds of this strain available for everyone to grow. The buds of Afghan Kush develop into massive, blunt-topped nuggets full of resin; pure indica goodness with a heavy yield. Revered for its heavy resin content and powerfully sedating effects, Afghan Kush is a top choice for anyone looking to relax after a long day.",15.25,0.95,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.290479791,,0.606870459,0.45458366,0.81324589,,,0.776280374,0.847742292,,,,,,,,0.137457318,,0.088463501,0.475089564,,0.689003104,1,1,,0.628270525,,,1,,0.847568059,0.783050047,0.090196078,0.485294118
45,Afghan Skunk,4.4,51,"This popular classic strain was originally developed in the United States to cross the pure indica genetics of an Afghani strain with the durable genes of Skunk plants. Afghan Skunk quickly spread to Amsterdam and beyond and is now considered one of the “classics.” Its resilient Skunk genes make this plant a popular recommendation for new growers, and its legendary high yields make it a favorite all around. Flowering happens around 8 weeks and the buds will have a menthol smell combined with the “sweet stink” skunks are known for. Tests have shown THC levels of about 17%, so the stink isn't the only thing that's potent about Afghan Skunk.",17,0.85,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0.681415929,,0.82300885,0.85046729,0.972850679,,,0.731900452,1,0.582579186,,,,,,,0.663716814,,0.03539823,,0.850678733,0.794392523,1,0.85046729,,,,,1,,0.887850467,0.85,0.004166667,0.54248366
46,Afghan Sour Kush,4.588235294,17,"Afghan Sour Kush by MTG Seeds is an indica-dominant cross between Afghani and Sour Kush. Its heavy, relaxing effects are ushered in by a sweet berry aroma and a sharp spicy flavor typical of Kush varieties. Stout and sturdy, Afghan Sour Kush plants have tight internodal spacing and finish flowering in about 60 days.",,0.75,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.941176471,,,,,1,1,,,,,0.571428571,,0.5,,0.466666667,,,,,0.633333333,,,1,,0.535714286,1,0.535714286,0.535714286,0.897058824,0.001388889,
47,Afghan Widow,4.666666667,9,"Afghan Widow is a strain with deep relaxing qualities that immediately envelop the body in a calming aura. This mid-level sedation is pleasant but not debilitating. However, with continued consumption, this strain may yield benefits for patients treating insomnia, nausea, physical discomfort, and some cancer treatment side effects. Afghan Widows lineage is a common sense cross of Afghan Kush and White Widow.",,0.55,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,0.551724138,,,0.551724138,0.666666667,,,,,0.482758621,1,,,,,0.076923077,,0.517241379,,,,,,1,,,,1,,0.076923077,1,,0.076923077,0.916666667,0.000735294,
48,Afghani,4.322916667,491,"Afghani is a heavy indica strain named after its geographic origin, where the earliest varieties of cannabis are believed to have grown. Breeders worldwide have come to treasure Afghani for its heavy resin production which is passed on genetically. With a sweet, earthy aroma, Afghani delivers a deep, sedating relaxation and euphoria. Patients most commonly turn to this potent indica to treat insomnia, pain, and stress disorders.",16,1,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304836248,,0.6208249,,0.451036785,,0.514474068,0.684243572,1,0.410295271,,,,,,,0.15507018,,0.180774463,,,0.564421691,1,0.885566889,,0.618042777,,,1,,0.753261135,0.830729167,0.040114379,0.509803922
49,Afghani Bullrider,4.392523364,108,"This strain has quite a few myths circulating about its original appearance. It blew up in San Diego before spreading to the rest of the West Coast. Afghani Bullrider is pretty to look at, with light green buds covered in orange hairs, and has a strong sweet and sour smell with some piney freshness. This strain is a heavy hitter that delivers strong couchlock effects, but won't leave you feeling sleepy. It heads straight to the brain and may boost creative thoughts while providing physical relaxation.",,0.96,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.1,,0.771428571,0.518754988,0.914922049,,,0.506013363,1,,,,,,0.482841181,0.542093541,0.057142857,,0.742857143,,,,1,0.52434158,,0.469042316,0.468475658,,1,,,0.848130841,0.008823529,
50,Afghani CBD,4.604166667,48,"Afghani CBD is a high-CBD variant of the landrace indica Afghani grown by Canadian LP Tilray. Named after its geographic origin Afghani CBD has relaxing, therapeutic properties that have shown potential to help those suffering with insomnia, chronic pain, and stress disorders.",,0.8,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.547244094,0.438016529,,0.512396694,,0.736654804,,0.279527559,0.871886121,1,,,,,,,,0.024793388,,,,0.409252669,,1,0.385826772,,0.409252669,,,1,,0.5,0.901041667,0.003921569,
51,Afghanica,4.0625,16,"Afghanica is a strain created by Flying Dutchmen with a taste, form, and effects typical of Afghani varieties. Coupled with the yield, vigor, and general potency true to Skunks, it is a pleasure to grow and consume. This strain is cherished for its many medical applications including pain relief and insomnia, and its heavy physical characteristics are lent from its mother, Afghani #1.",,0.49,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,0.6,,0.642857143,0.714285714,,0.642857143,1,,,0.2,0.6,,,,,,0.1,,,0.6,0.714285714,0.9,,1,,,1,,0.7,0.765625,0.00130719,
52,Afghanimal,4.5,2,"Afghanimal by In House Genetics is a heavy indica-leaning cross of Afghani and Animal Cookies. This squat plant offers tight, rock-hard nuggets that reek of sweet, acrid earth intermixed with fruit and floral notes. It lends consumers heavy physical effects suited for pain relief, relaxation, and mood enhancement. Afghanimal's smaller stature and snappy 7-8 week flowering time make it a perfect fit for indica-loving indoor growers seeking classic and modern indica-dominant genetics.",,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,0.5,,,,1,,,,,0.5,,,0.5,0.5,1,,,,,,,1,,,1,1,,,,1,1,1,1,0.875,0.000163399,
53,Afghooey,3.5,2,"Also known as Afgoo, Afghooey buds are light, fluffy, and heavily laden with a crystal coating of trichomes. Working this marijuana in your hand can become a very sticky situation. Smoking Afghooey provides you with a best of both worlds indica & sativa high.",,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,0.000163399,
54,Afgoo,4.15682968,615,"Afgoo, also known as Afgooey, is a potent indica strain that is believed to descend from an Afghani indica and Maui Haze. Its sativa parent may lend Afgoo some uplifting, creative qualities, but this strain undoubtedly takes after its indica parent as it primarily delivers relaxing, sleepy effects alongside its earthy pine flavor. Growers hoping to cultivate Afgoo may have a better chance of success indoors, but this indica can also thrive in Mediterranean climates outdoors.",,0.98,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.589554207,,0.675283566,0.434176274,0.601108673,,,0.616121954,0.873373001,,,,,,,0.502598452,0.027697178,,0.038248483,,,0.992190405,1,1,,0.791892828,,,1,,0.6457791,0.78920742,0.050245098,
55,Afgooey,4.220238095,351,"Afgooey, also known as Afgoo, is a potent indica strain that is believed to descend from an Afghani indica and Maui Haze. Its sativa parent may lend Afgoo some uplifting, creative qualities, but this strain undoubtedly takes after its indica parent as it primarily delivers relaxing, sleepy effects alongside its earthy pine flavor. Growers hoping to cultivate Afgoo may have a better chance of success indoors, but this indica can also thrive in Mediterranean climates outdoors.",16.5,0.8,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154437283,,0.229053049,,0.784117067,0.556231503,0.27173913,0.492107859,1,,,,,,,,0.020823004,,0.175260288,,,0.448251418,1,0.782844991,,0.578099309,,,1,,0.379253308,0.805059524,0.028676471,0.526143791
56,Afkansastan,3.75,4,"Afkansastan is a relaxing Afghan landrace strain that packs a punch. It grows stout plants with dense, dark green buds that exhibit hints of purple and brick red pistils throughout. The smell is earthy and sweet, but shows off berry and stone fruit after grinding and on the exhale. This indica-dominant strain offers traditional sedative effects that curb physical discomfort, insomnia, and ignite the appetite. Utilize this strain later in the day to harness the best it has to offer.",,0.81,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0.5,,1,,0.5,,,,,,1,0.5,0.5,,1,0.5,,,0.5,,0.5,1,,1,,0.5,,,1,1,,0.6875,0.000326797,
57,Afpak,4.166666667,6,"Afpak, named for its direct Afghani and Pakistani landrace heritage, is a beautiful indica-dominant hybrid with light green and deep bluish purple leaves. The taste and aroma are floral with a touch of lemon, making the inhale light and smooth. Its effects start in the stomach by activating the appetite. There is also a potent relaxation that starts in the head and face, and gradually sinks down into the body. Enjoy this strain if you're suffering from stress, mild physical discomfort, or having difficulty eating.",,0.64,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,0.125,,,0.125,1,0.0625,,,,,0.333333333,,,,,0.125,,1,1,0.666666667,,,,,,,0.666666667,0.791666667,0.000490196,
58,African,4.027777778,40,"African refers to the indigenous varieties of cannabis (or landraces) that grow natively in this region of the world. Because of this region's latitude and climate, these native landrace strains tend to be sativa in structure and effect.",10,0,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064935065,0.95862069,0.467532468,0.942528736,0.95862069,,,,1,,,,,0.402298851,,0.727586207,0.097402597,,0.435064935,,1,1,,,,0.634482759,,,1,,0.712643678,0.756944444,0.003267974,0.31372549
59,Afrikaner,5,1,"Afrikaner by Cannabaal and master grower Waldo Botha is a pure South African landrace strain. This tall strain produces high levels of THCV alongside a healthy 20% THC content. It has an earthy hemp aroma, but the flavor is a “sweet picante weed stench,” or so says the producer. A pure sativa, Afrikaner energizes the body with a euphoric lust for life while keeping the mind fairly clear. Utilize this strain in the proper dosage to harness the physical stimulation and mood elevation for productive means.",,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.17E-05,
60,Afrodite,3,4,"Afrodite by Kannabia Seed Company is a sativa-dominant hybrid created by crossing a Black Domina father and a Jack Herer mother. Kannabia paired these two contrasting genetics to shorten the growing time of Jack Herer while improving overall resin production. These attributes make Afrodite a perfect strain for hash makers as well as sativa-dominant consumers looking for a mellow but heady buzz. Afrodite's terpene profile includes spices, pine, and forest floor. Utilize Afrodite with stimulating activities to balance out stress and depression.",17,0.250685931,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.8,0.5,1,1,,,,1,,,1,,,0.333333333,,,,0.5,1,0.6,1,1,1,,,,,1,,,0.5,0.000326797,0.54248366
61,Afternoon Delight,4.64,25,"Afternoon Delight, created by Colorado Seed Inc., is a difficult strain to track down. Noted for its small, dense nuggets and an aroma of pine and pungent terpenes, Afternoon Delight is described as an indica-dominant hybrid with a hazy aura that engulfs the mind and body. But indulge with caution, as this hybrid has also been known for its potency.",16,0.56,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,0.368932039,0.638655462,,,0.422330097,,,,,0.684466019,0.93015873,,0.546218487,,,,0.758730159,1,,0.369747899,0.723809524,,0.898058252,0.898412698,1,,1,,,0.731092437,,,0.91,0.002042484,0.509803922
62,Afwreck,4.18018018,120,Afwreck is a hybrid cross of Afghani and Trainwreck.  Strong sativa effects with immediate head-concentrated high.,18,0.5,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.938931298,,0.095652174,,0.260869565,,0.427480916,,0.36,,1,,,0.939130435,,,,,,,1,0.946564885,,0.5,1,0.68,,0.519083969,,,0.408695652,,0.46,0.795045045,0.009803922,0.575163399
63,Agape,4.5,2,"Bred by Justin at Trinity Sacred Rootz, Agape is a cross between Shasta Grape and Black Cherry. A sativa-dominant hybrid, Agape is the perfect strain for an adventure in the sun. Its buds carry purple hues throughout, and its grape and tropical fruit flavors draw you in further before finally imbuing the mind with inspiring euphoria.",,0.08,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.5,,1,,0.5,,,,0.5,,1,0.5,1,,1,,0.5,1,,,,,,,,,,,1,,0.5,,0.875,0.000163399,
64,Agent Orange,4.210275928,1078,"Don't let the name scare you! The only herbicidal warfare Agent Orange will wage is between the excellence of this strain's flavors and uplifting effects. A well-balanced hybrid that combines the smooth Orange Velvet with the bold Jack the Ripper, Agent Orange by MzJill Genetics will capture your senses. Wonderful smells of oranges and fresh-cut citrus fruit will entice you immediately, while the pigments of deep maroon and purple will make this bud stand out in a sea of green. The effects are uplifting and motivating, serving as a great mood enhancer if you are feeling lethargic or depressed.",15.5,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,0.327821995,0.818562321,0.726277696,,0.978640389,0.707462165,,,0.900867097,,,0.368726811,,0.471623571,,1,,,0.330618437,,,1,0.71384668,0.462707447,,,,,1,0.399497817,,0.802568982,0.088071895,0.493464052
65,Agent Tangie,4.5625,16,"For those craving a cerebral buzz with a citrus kick, 3C Agent Tangie is perfect. The glittery colas are light green with a zesty, floral flavor. Its effects linger in the crown of the skull and disperse throughout the body in steady waves of invigoration. This strain may assist those suffering from perpetual procrastination, depression, and fatigue.",17,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,0.795454545,0.84,,,1,,0.545454545,0.834415584,,,1,,,0.068965517,,0.92,,,,,,,,1,0.467532468,,,1,,,0.344827586,0.84,,0.890625,0.00130719,0.54248366
66,Agharta,,0,"Agharta, named after the mythological city at the center of Earth, was created by Gage Green Group (GGG) who crossed Colorado Bubba with Grateful Breath. Colorado Bubba, an award-winning cross, infuses its Northern Lights and OG characteristics into Agharta while Grateful Breath helps to bring density, yield, and potency to the strain. With the flavor and aroma of forest, pine, raspberries, and fuel, Agharta will provide a calming, tranquil experience for most consumers.",,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
